2025-11-11 11:44:41,422 - MainThread - INFO - ✓ GPU memory growth enabled for 1 device(s)
2025-11-11 11:44:41,422 - MainThread - INFO - 
=== Experiment 1/1: 200_2 ===
2025-11-11 11:44:41,599 - MainThread - INFO - Loaded data shape: X=(9799368, 4), y=(9799368, 1)
2025-11-11 11:47:20,804 - MainThread - INFO - Adjusting weights at epoch 60: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:21,036 - MainThread - INFO - Adjusting weights at epoch 60: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:21,269 - MainThread - INFO - Adjusting weights at epoch 60: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:21,502 - MainThread - INFO - Adjusting weights at epoch 60: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:21,734 - MainThread - INFO - Adjusting weights at epoch 60: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:21,967 - MainThread - INFO - Adjusting weights at epoch 60: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:22,663 - MainThread - INFO - Adjusting weights at epoch 60: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:22,888 - MainThread - INFO - Adjusting weights at epoch 60: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:46,183 - MainThread - INFO - [200_2] Epoch 70/200 | Avg Loss: 4.5972e+00 (Data=4.602e-01, PDE=6.760e+14, BC=1.975e+05, IC=6.081e+02)
2025-11-11 11:47:46,307 - MainThread - INFO - Adjusting weights at epoch 70: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:46,540 - MainThread - INFO - Adjusting weights at epoch 70: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:46,772 - MainThread - INFO - Adjusting weights at epoch 70: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:48,165 - MainThread - INFO - Adjusting weights at epoch 70: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:48,398 - MainThread - INFO - Adjusting weights at epoch 70: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:47:48,623 - MainThread - INFO - Adjusting weights at epoch 70: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:11,934 - MainThread - INFO - [200_2] Epoch 80/200 | Avg Loss: 4.0635e+00 (Data=4.695e-01, PDE=8.288e+14, BC=1.969e+05, IC=6.066e+02)
2025-11-11 11:48:12,054 - MainThread - INFO - Adjusting weights at epoch 80: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:12,286 - MainThread - INFO - Adjusting weights at epoch 80: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:13,446 - MainThread - INFO - Adjusting weights at epoch 80: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
